arrest_count,month_id,boro_id,jurisdiction_id,perp_age_id,perp_sex_id,perp_race_id,vict_age_id,vict_sex_id,vict_race_id,court_count,complaint_count,shooting_count
1,6,4,2,3,1,4,,,,3,,
1,6,3,3,3,2,5,,,,,,
1,6,1,1,2,2,3,,,,,,
1,6,4,,3,1,1,,,,,,
3,6,1,2,3,1,4,,,,,,
1,6,1,3,5,1,2,,,,,,
1,6,1,,3,2,2,,,,,,
1,6,5,1,2,2,2,,,,6,,
1,6,4,1,2,1,,,,,18,,
1,6,1,1,5,1,2,,,,,,
1,6,5,1,3,2,2,,,,4,,
1,6,3,3,2,2,4,,,,2,,
1,6,5,1,5,1,3,,,,,,
1,6,4,2,1,2,3,,,,,,
5,6,3,3,2,2,2,,,,1,,
2,6,2,,3,1,1,,,,,,
1,6,5,,3,1,2,,,,,,
1,6,4,1,5,2,2,,,,1,,
1,6,1,1,1,2,6,,,,,,
1,6,4,,1,2,3,,,,,,
1,6,4,,3,1,3,,,,,,
1,6,4,,1,1,1,,,,,,
1,6,2,2,1,1,4,,,,,,
3,6,5,1,2,2,4,,,,1,,
1,6,3,1,2,2,6,,,,,,
1,6,3,3,3,1,4,,,,13,,
1,6,2,,3,1,2,,,,,,
1,6,4,1,1,1,6,,,,1,,
1,6,1,,3,1,1,,,,,,
1,6,1,2,1,2,5,,,,,,
1,6,2,,2,1,,,,,,,
1,6,3,3,1,2,4,,,,3,,
1,6,3,1,4,2,2,,,,2,,
1,6,5,1,1,2,1,,,,1,,
1,6,1,1,4,1,5,,,,,,
1,6,2,,3,1,,,,,,,
1,6,3,2,2,1,1,,,,3,,
2,6,1,1,2,2,5,,,,,,
1,6,1,1,5,1,5,,,,,,
1,6,2,,1,2,5,,,,,,
1,6,5,,1,1,2,,,,,,
1,6,1,2,1,2,3,,,,,,
1,6,3,,1,2,3,,,,,,
1,6,4,3,3,1,3,,,,,,
1,6,1,3,3,2,2,,,,,,
1,6,2,1,5,1,5,,,,3,,
3,6,2,3,1,2,2,,,,,,
1,6,2,,5,1,2,,,,,,
1,6,4,3,1,1,1,,,,,,
1,6,1,1,2,2,1,,,,,,
1,6,2,,1,2,2,,,,,,
1,6,2,1,1,1,6,,,,2,,
1,6,1,,1,1,1,,,,,,
1,6,3,2,4,2,2,,,,3,,
1,6,4,2,3,1,1,,,,,,
2,6,1,2,2,2,2,,,,,,
1,6,1,1,5,2,2,,,,,,
1,6,2,1,5,1,2,,,,15,,
1,6,1,,4,1,2,,,,,,
2,6,2,,1,1,,,,,,,
2,6,4,,1,2,4,,,,,,
1,6,2,3,2,1,4,,,,2,,
1,6,3,1,1,1,,,,,1,,
1,6,2,3,1,1,4,,,,,,
1,6,1,1,2,2,,,,,,,
1,6,3,1,5,2,4,,,,,,
1,6,4,1,4,2,3,,,,1,,
1,6,3,1,2,1,6,,,,,,
1,6,1,1,2,1,,,,,,,
1,6,1,,2,1,5,,,,,,
1,6,3,2,1,2,4,,,,3,,
1,6,2,1,2,2,,,,,2,,
3,6,4,3,2,1,1,,,,,,
1,6,1,1,3,2,5,,,,,,
3,6,4,2,1,2,4,,,,1,,
3,6,3,2,1,2,2,,,,5,,
1,6,2,,5,1,3,,,,,,
1,6,4,2,2,2,4,,,,,,
1,6,3,,1,1,1,,,,,,
1,6,2,1,3,1,,,,,,,
2,6,4,2,3,2,4,,,,,,
1,6,2,3,2,2,2,,,,2,,
1,6,3,2,5,2,4,,,,,,
1,6,3,,2,2,1,,,,,,
1,6,2,,5,1,4,,,,,,
1,6,4,3,1,1,3,,,,4,,
1,6,5,1,2,1,,,,,,,
1,6,3,2,4,2,1,,,,,,
1,6,2,,3,1,5,,,,,,
1,6,4,2,5,1,2,,,,,,
1,6,3,3,4,1,3,,,,,,
1,6,4,3,3,2,4,,,,,,
1,6,1,2,5,2,4,,,,,,
1,6,3,2,1,2,3,,,,,,
1,6,4,,2,1,1,,,,,,
1,6,2,,3,2,3,,,,,,
1,6,5,1,4,1,4,,,,1,,
1,6,3,2,3,2,2,,,,1,,
1,6,4,3,1,2,3,,,,1,,
1,6,3,2,1,1,3,,,,1,,
1,6,1,,4,2,2,,,,,,
1,6,5,1,5,2,3,,,,,,
1,6,2,,3,2,2,,,,,,
1,6,1,,4,2,1,,,,,,
1,6,1,3,2,1,3,,,,,,
2,6,3,3,3,1,1,,,,2,,
2,6,3,2,1,1,1,,,,7,,
1,6,1,3,1,1,6,,,,,,
1,6,2,3,5,1,4,,,,,,
1,6,4,,3,1,4,,,,,,
2,6,3,1,2,1,,,,,,,
1,6,4,,5,2,2,,,,,,
1,6,4,1,2,2,1,,,,,,
1,6,1,,2,1,6,,,,,,
2,6,3,,2,2,4,,,,,,
1,6,3,,4,2,4,,,,,,
1,6,2,1,1,2,6,,,,,,
1,6,3,,4,2,2,,,,,,
2,6,1,1,4,2,3,,,,,,
3,6,4,1,3,2,5,,,,,,
3,6,1,2,4,1,2,,,,,,
1,6,2,1,1,2,,,,,,,
2,6,1,2,2,2,1,,,,,,
1,6,2,2,2,1,4,,,,1,,
1,6,5,,2,1,2,,,,,,
1,6,2,3,1,1,3,,,,1,,
1,6,5,1,5,1,2,,,,1,,
1,6,4,1,1,2,,,,,,,
3,6,1,2,2,2,4,,,,,,
1,6,1,2,1,1,1,,,,,,
1,6,4,1,4,1,3,,,,1,,
1,6,4,1,5,1,5,,,,1,,
1,6,1,1,4,1,,,,,,,
1,6,1,,5,1,3,,,,,,
1,6,1,3,1,1,5,,,,,,
1,6,1,2,1,2,1,,,,,,
1,6,1,3,2,1,1,,,,,,
1,6,1,3,2,2,2,,,,,,
1,6,5,,1,2,4,,,,,,
1,6,3,3,4,1,4,,,,1,,
1,6,1,2,1,1,5,,,,,,
1,6,3,3,3,1,,,,,,,
1,6,3,2,5,2,1,,,,,,
1,6,2,1,1,1,,,,,1,,
1,6,1,3,3,1,5,,,,,,
1,6,3,3,3,1,3,,,,1,,
1,6,2,1,2,1,,,,,1,,
1,6,2,1,4,1,6,,,,,,
1,6,1,2,4,2,2,,,,,,
1,6,4,3,3,2,2,,,,,,
1,6,1,3,1,2,1,,,,,,
1,6,5,1,3,2,5,,,,,,
1,6,4,,3,2,4,,,,,,
1,6,4,2,1,1,3,,,,,,
1,6,3,3,1,2,3,,,,,,
1,6,3,2,3,2,4,,,,1,,
1,6,3,3,1,2,2,,,,3,,
1,6,4,,4,2,2,,,,,,
1,6,3,,1,1,5,,,,,,
1,6,1,,5,2,4,,,,,,
2,6,5,1,2,2,1,,,,1,,
1,6,2,1,3,1,6,,,,5,,
1,6,4,1,2,1,6,,,,1,,
1,6,4,2,1,2,2,,,,2,,
2,6,5,,2,1,1,,,,,,
1,6,1,,3,2,3,,,,,,
1,6,1,3,1,2,2,,,,,,
1,6,4,2,4,1,4,,,,4,,
1,6,2,1,5,1,4,,,,2,,
1,6,3,1,3,2,3,,,,,,
1,6,1,,2,2,3,,,,,,
1,6,1,2,4,1,1,,,,,,
1,6,4,2,4,1,1,,,,,,
1,6,5,1,3,1,5,,,,1,,
1,6,4,1,3,1,,,,,17,,
1,6,4,3,2,2,2,,,,,,
1,6,1,,2,1,4,,,,,,
1,6,3,,1,2,1,,,,,,
1,6,2,1,3,2,1,,,,,,
1,6,5,1,2,1,6,,,,2,,
1,6,1,2,3,2,5,,,,,,
1,6,1,3,3,2,4,,,,,,
1,6,3,1,1,2,5,,,,,,
1,6,3,3,2,1,1,,,,8,,
1,6,4,3,1,1,5,,,,,,
1,6,3,1,4,1,5,,,,,,
1,6,3,1,5,2,2,,,,,,
2,6,3,,4,1,4,,,,,,
1,6,2,2,2,2,3,,,,,,
1,6,3,,3,1,1,,,,,,
1,6,3,1,2,2,,,,,,,
2,6,2,3,1,1,5,,,,,,
1,6,4,3,4,1,2,,,,,,
1,6,3,3,5,1,2,,,,,,
1,6,3,,3,2,2,,,,,,
1,6,3,1,5,1,4,,,,2,,
1,6,4,3,4,2,2,,,,,,
1,6,4,,2,2,1,,,,,,
1,6,3,,1,1,,,,,,,
1,6,2,3,3,2,2,,,,,,
1,6,2,3,2,1,1,,,,,,
1,6,2,,4,2,4,,,,,,
1,6,4,3,3,1,1,,,,,,
1,6,5,3,2,1,3,,,,,,
1,6,1,2,3,1,5,,,,,,
1,6,1,1,3,2,1,,,,,,
1,6,2,,2,2,2,,,,,,
1,6,5,,1,1,4,,,,,,
1,6,4,1,5,2,4,,,,1,,
1,6,4,3,2,2,3,,,,,,
1,6,2,3,2,1,3,,,,1,,
1,6,2,,4,1,2,,,,,,
1,6,2,3,1,1,1,,,,,,
1,6,1,,5,1,2,,,,,,
1,6,1,1,4,2,1,,,,,,
1,6,1,,3,1,,,,,,,
1,6,5,1,4,1,5,,,,,,
1,6,3,,3,2,3,,,,,,
2,6,4,,4,1,2,,,,,,
1,6,2,2,1,1,3,,,,,,
1,6,4,,5,2,3,,,,,,
1,6,5,1,1,2,,,,,,,
1,6,2,3,2,1,2,,,,2,,
1,6,2,2,1,2,4,,,,,,
1,6,4,,1,2,,,,,,,
1,6,1,3,1,2,3,,,,,,
1,6,1,2,3,1,1,,,,,,
1,6,5,1,5,1,4,,,,,,
1,6,3,,3,1,5,,,,,,
1,6,4,3,4,1,,,,,,,
1,6,1,2,3,1,3,,,,,,
2,6,2,,2,1,1,,,,,,
1,6,1,,1,2,1,,,,,,
1,6,4,1,4,1,,,,,1,,
1,6,1,,1,2,,,,,,,
1,6,4,3,2,1,3,,,,1,,
2,6,2,3,1,2,4,,,,,,
1,6,2,,3,2,4,,,,,,
1,6,3,1,4,1,6,,,,,,
1,6,4,2,3,2,1,,,,,,
1,6,1,3,1,2,5,,,,,,
1,6,2,,2,1,5,,,,,,
1,6,4,,2,1,5,,,,,,
1,6,2,1,5,2,3,,,,1,,
1,6,4,,3,1,5,,,,,,
1,6,5,1,2,2,5,,,,2,,
1,6,1,,5,1,4,,,,,,
1,6,3,1,5,1,5,,,,,,
1,6,4,,3,2,5,,,,,,
1,6,2,1,5,2,4,,,,2,,
1,6,4,3,1,2,4,,,,5,,
1,6,2,2,2,2,4,,,,,,
3,6,5,1,4,2,2,,,,1,,
1,6,4,2,2,1,1,,,,,,
1,6,3,1,3,2,5,,,,,,
1,6,3,2,5,1,2,,,,1,,
1,6,1,3,5,1,1,,,,,,
1,6,3,,1,1,3,,,,,,
1,6,3,2,4,1,1,,,,2,,
1,6,3,,5,1,4,,,,,,
1,6,1,2,3,2,3,,,,,,
1,6,2,,2,2,5,,,,,,
1,6,4,2,1,2,1,,,,,,
1,6,5,,1,2,1,,,,,,
1,6,3,2,3,2,1,,,,,,
1,6,1,2,4,1,4,,,,,,
2,6,4,1,5,1,4,,,,,,
1,6,4,1,4,2,1,,,,1,,
1,6,5,1,3,2,4,,,,2,,
1,6,2,2,1,1,,,,,,,
1,6,2,,1,2,,,,,,,
1,6,1,3,4,1,4,,,,,,
1,6,4,3,5,1,2,,,,,,
1,6,3,,3,1,3,,,,,,
1,6,1,,4,2,4,,,,,,
1,6,2,,2,1,3,,,,,,
2,6,5,,4,1,2,,,,,,
1,6,4,,5,1,2,,,,,,
1,6,1,1,3,2,6,,,,,,
2,6,3,2,1,2,1,,,,2,,
1,6,1,,5,2,5,,,,,,
1,6,4,3,2,2,1,,,,,,
1,6,5,1,1,2,5,,,,,,
1,6,3,,3,2,,,,,,,
1,6,3,1,5,1,1,,,,2,,
1,6,1,3,3,2,1,,,,,,
1,6,1,1,5,2,5,,,,,,
1,6,4,2,5,1,4,,,,,,
1,6,2,,3,1,6,,,,,,
1,6,1,3,5,1,4,,,,,,
2,6,2,2,2,1,5,,,,2,,
1,6,5,,2,2,2,,,,,,
1,6,4,2,3,1,3,,,,,,
1,6,2,,1,1,6,,,,,,
1,6,2,3,3,2,4,,,,,,
1,6,5,1,2,2,6,,,,,,
1,6,3,3,2,1,3,,,,,,
1,6,4,1,5,1,1,,,,,,
1,6,3,3,3,2,2,,,,4,,
1,6,3,2,2,1,3,,,,,,
1,6,2,1,5,1,1,,,,,,
1,6,2,3,1,2,3,,,,,,
1,6,1,2,4,1,3,,,,,,
1,6,3,1,1,2,,,,,,,
1,9,2,2,1,1,4,,,,1,,
1,9,2,1,2,2,2,,,,12,,
1,9,3,1,1,1,1,,,,62,,
1,9,3,1,1,2,4,,,,20,,
1,9,1,1,1,1,2,,,,,,
2,9,4,1,3,2,3,,,,4,,
1,9,1,1,1,2,2,,,,,,
2,9,2,1,1,2,2,,,,16,,
1,9,1,1,4,1,1,,,,,,
2,9,3,1,1,1,4,,,,115,,
1,9,2,1,2,1,2,,,,62,,
1,9,3,1,1,1,2,,,,178,,
1,9,3,1,3,1,4,,,,62,,
1,9,4,1,1,1,2,,,,262,,
1,9,2,,1,1,2,,,,,,
2,9,3,1,3,1,2,,,,60,,
1,9,1,2,1,1,4,,,,,,
1,9,1,1,2,1,2,,,,,,
1,9,1,1,1,2,4,,,,,,
1,9,2,1,1,1,5,,,,30,,
1,9,4,1,2,2,3,,,,4,,
1,9,3,1,2,2,4,,,,15,,
1,9,4,1,3,2,4,,,,6,,
1,9,2,,1,2,1,,,,,,
1,9,2,1,1,1,4,,,,92,,
1,9,5,1,3,1,2,,,,12,,
1,9,3,1,2,1,1,,,,42,,
1,9,2,1,1,1,3,,,,22,,
1,9,1,2,2,1,1,,,,,,
1,9,2,,1,1,1,,,,,,
1,9,1,1,3,1,3,,,,,,
1,9,2,3,1,1,4,,,,3,,
1,9,1,1,1,1,1,,,,,,
1,9,1,1,1,1,3,,,,,,
1,9,5,1,1,1,3,,,,15,,
1,9,4,1,2,1,2,,,,113,,
1,9,3,1,3,2,2,,,,13,,
1,9,5,1,3,1,4,,,,3,,
1,9,4,3,1,1,2,,,,15,,
1,9,4,1,3,1,4,,,,28,,
1,9,4,1,1,1,1,,,,14,,
1,9,4,1,3,1,3,,,,13,,
2,9,2,1,1,1,2,,,,152,,
1,9,3,1,2,1,2,,,,103,,
1,9,2,1,4,1,1,,,,1,,
1,9,3,1,3,1,1,,,,28,,
1,9,1,1,1,1,4,,,,,,
1,9,1,3,3,1,3,,,,,,
1,9,1,1,2,2,4,,,,,,
1,9,1,2,3,1,5,,,,,,
1,9,4,1,1,1,5,,,,25,,
1,9,1,1,3,1,2,,,,,,
1,9,1,,1,1,3,,,,,,
1,9,4,1,5,1,3,,,,7,,
1,9,4,1,1,1,3,,,,54,,
1,9,5,1,1,1,4,,,,7,,
2,9,2,1,3,1,2,,,,87,,
1,9,4,1,1,1,4,,,,49,,
1,9,1,,2,1,2,,,,,,
1,9,2,1,3,1,5,,,,18,,
1,9,5,1,1,2,2,,,,7,,
1,9,2,,1,2,4,,,,,,
1,9,1,3,3,1,2,,,,,,
2,9,4,1,3,1,2,,,,145,,
